requirement_id,type,title,source_ids,source_locator,current_evidence,current_status,confidence,acceptance_ids,validation_target,open_question
"FR-088","functional/privacy/observability","trace data minimization/redaction","SRC-015;SRC-034;SRC-036","RAG guide PDF 195-197; debug redaction report","confirmed: shared save/view/download trace sanitizer and secret/PII/unauthorized raw-value tests","implemented","inferred","AC-FR088-001;AC-FR088-002","secret/unauthorized fixture at save/view/download;retention/access allowlist","Q-009;OQ-RD-009"
"FR-089","functional/safety/reliability","safe degradation invariant","SRC-034;SRC-036","RAG guide operations PDF 198-203","confirmed: dependency/cost/circuit degradation matrix preserves authorization and grounding safety invariants","implemented","inferred","AC-FR089-001;AC-FR089-002","dependency latency/failure/cost cap;no auth/classification/usage/injection/tool/grounding/citation/secret/redaction bypass","OQ-RD-006"
"FR-090","functional/authorization/async","長時間処理の current authorization 再評価","SRC-034;SRC-036;SRC-038","RAG guide PDF 188-189; worker authorization reports","confirmed: worker start/read/side-effect/commit current authorization and revoke artifact cleanup tests","implemented","inferred","AC-FR090-001;AC-FR090-002","revoke between submit/start/protected-read/side-effect/commit","OQ-RD-004"
"FR-091","functional/security/privacy","権限外資源の存在最小化","SRC-034;SRC-036","RAG guide PDF 187-189; current API/list/search schemas","confirmed: public-response non-enumeration authorized-only count/cursor and reader/Web/worker/debug minimization tests","implemented","inferred","AC-FR091-001;AC-FR091-002;AC-FR091-003","existing-vs-absent unauthorized differential;authorized-only list/search count/pagination;Web capability/error;debug and queued-worker result current minimization","OQ-RD-006"
"FR-092","functional/ingestion/chunking","versioned 構造保持 chunking","SRC-034;SRC-036","RAG guide PDF 63-77; current ingest/chunk path","confirmed: versioned structure-aware stable chunks overlap/budget/locator/security envelope tests","implemented","inferred","AC-FR092-001;AC-FR092-002","structured table/list/code boundary corpus;repeat-run stable IDs;oversize/locator quality gate","Q-002;OQ-RD-005"
"FR-093","functional/monitoring/safety","本番 RAG 品質・安全 monitoring control loop","SRC-034;SRC-036","RAG guide PDF 156-185;195-208; current trace and benchmark","confirmed: production observation producer/monitor/worker alert/action/interlock focused tests; live AWS not run","implemented","inferred","AC-FR093-001;AC-FR093-002","synthetic drift/critical event;missing signal;alert/action/rollback correlation","OQ-RD-005;OQ-RD-006"
"SQ-005","service_quality/security","権限外 evidence 露出 0 件","SRC-034;SRC-036","RAG guide PDF 81;187-189","confirmed: prefilter/reauthorizer/tenant/sanitizer negative tests and zero-tolerance gate; live corpus open","implemented","inferred","AC-SQ005-001;AC-SQ005-002","unauthorized exposure count exactly zero at all observation points",""
"SQ-006","service_quality/security/freshness","権限剥奪・削除反映 SLO","SRC-034;SRC-036","RAG guide PDF 81;188-189","confirmed: complete 10-trigger x 7-path report and incomplete-matrix unavailable tests; target open","implemented","inferred","AC-SQ006-001;AC-SQ006-002","share/account/role/group/classification/usage/quality/expiry/delete trigger x index/cache/session/memory/worker max/p95/p99","OQ-RD-004"
"SQ-007","service_quality/RAG","工程別 RAG 品質プロファイル","SRC-034;SRC-035;SRC-037","RAG guide PDF 156-185; SWEBOK validation; SQ-001","confirmed: required case/endpoint/recovery slices and missing/unapproved/baseline/improvement gates; thresholds open","implemented","inferred","AC-SQ007-001;AC-SQ007-002","all mandatory SQ/slices measured;failed or unknown item blocks promotion","OQ-RD-005"
"SQ-008","service_quality/performance","応答時間 SLO","SRC-034;SRC-036","RAG guide PDF 198-203","confirmed: workload dimensions and chat/search/ingest p50/p95/p99 stage gates; target open","implemented","inferred","AC-SQ008-001;AC-SQ008-002","stage p50/p95/p99 under approved and mismatched workload profiles","Q-005;OQ-RD-006"
"SQ-009","service_quality/retrieval","認可済み検索の回収品質","SRC-034;SRC-036","RAG guide PDF 160-167","confirmed: versioned authorized Recall@k/false-denial with independent no-leak gate; target open","implemented","inferred","AC-SQ009-001;AC-SQ009-002","authorized Recall@k;all-evidence recall;false-denial by grant path","OQ-RD-005"
"SQ-010","service_quality/generation","回答忠実性","SRC-034;SRC-036","RAG guide PDF 168-174","confirmed: claim support spans/severity metrics and critical unsupported zero-tolerance gate; target open","implemented","inferred","AC-SQ010-001;AC-SQ010-002","claim faithfulness;unsupported claim rate;critical unsupported claim","OQ-RD-005"
"SQ-011","service_quality/citation","引用品質","SRC-034;SRC-036","RAG guide PDF 168-174","confirmed: claim-citation precision/completeness/support/locator and required-claim miss gate; target open","implemented","inferred","AC-SQ011-001;AC-SQ011-002","citation precision;completeness;locator validity by claim","OQ-RD-005"
"SQ-012","service_quality/answerability","回答可能性判断品質","SRC-034;SRC-036","RAG guide PDF 175-179","confirmed: versioned answerability response-type false-answer/false-refusal metrics and gates; target open","implemented","inferred","AC-SQ012-001;AC-SQ012-002","answer/refusal/clarification/handoff confusion matrix","OQ-RD-005"
"SQ-013","service_quality/business","業務タスク達成品質","SRC-034;SRC-036","RAG guide PDF 180-185","confirmed: actor/goal/success/handoff/severity outcomes and critical task failure gate; target open","implemented","inferred","AC-SQ013-001;AC-SQ013-002","complete/partial/handoff by use case and severity","OQ-RD-005"
"SQ-014","service_quality/reliability","可用性・復旧 SLO","SRC-034;SRC-036","RAG guide PDF 198-200","confirmed: endpoint-stage outcome/backlog/retry and vector/LLM/OCR/queue MTTR/no-loss gates; target open","implemented","inferred","AC-SQ014-001;AC-SQ014-002","success/error/timeout/backlog;dependency failure and recovery","Q-005;OQ-RD-006"
"SQ-015","service_quality/cost","単位処理コスト上限","SRC-034;SRC-036","RAG guide PDF 201-203","confirmed: approved price/version complete usage component-total unit cost and quality conjunction; ceiling open","implemented","inferred","AC-SQ015-001;AC-SQ015-002","request/run/document unit cost with simultaneous safety-quality gates","Q-005;OQ-RD-006"
