"requirement_id","acceptance_criteria","implementation_evidence","validation_evidence","validation_command_or_suite","acceptance_status","notes_constraints"
"FR-066","AC-FR066-001 authoritative eligibility を cleanup より先に deny; AC-FR066-002 全 artifact/worker の cleanup manifest と rollback 非復活","source restriction/delete/account/role/group/archive/failed-ingest は authoritative deny 後に ObjectStoreRevocationCleanupCoordinator へ登録する。manifest は source/chunk/memory/active/staged/old index/cache/grant/session/queued run/evaluation artifact の11 scope と tenant partition、durable repair、strongly consistent tenant Query、retry/residual/superseded deny safety を保持する。","revocation cleanup、source governance、role、document/folder lifecycle/delete/archive、account/group の focused test と最終 API 657/657、infra 38/38、全 workspace test が pass。最終 read-only 監査でも production-path blocker 0 を確認した。","apps/api/src/rag/_shared/security/revocation-cleanup-coordinator.test.ts; apps/api/src/rag/offline/pre-retrieval/admission/source-governance-approval-service.test.ts; apps/api/src/documents/document-lifecycle-mutation-coordinator.test.ts; apps/api/src/folders/folder-archive-service.test.ts; apps/api/src/security/account-lifecycle-current-identity.test.ts; apps/api/src/security/resource-group-membership-service.test.ts; npm test --workspaces --if-present","implemented_verified","live cleanup duration/SLO と AWS registry backfill/convergence は未実測であり、deny-first/cleanup convergence の実装受け入れと分離する。"
"FR-067","AC-FR067-001 tenant/owner/chat/expiry scope isolation; AC-FR067-002 queued/retry/cache を current 条件で拒否し cleanup 追跡","hybrid retriever は temporary attachment の current tenant/owner/chat/expiry を検査し、expired/owner-suspended/stale-chat mismatch を source/chunk/memory/cache/queued-run の tenant-scoped cleanup ledger へ登録する。chat attachment は warning/unverified の品質表示を維持した temporary 専用 admission と current eligibility を使い、永続文書 governance を迂回せず同一会話だけへ scope を引き継ぐ。","temporary boundary、revocation cleanup、useChatSession 回帰 test 14/14、実 API/Web の E2E smoke は一時添付が永続一覧へ混入しないこと、同一会話で回答と citation を返すことを確認し、全4件 pass。","apps/api/src/search/temporary-attachment-boundary.test.ts; apps/api/src/rag/_shared/security/revocation-cleanup-coordinator.test.ts; apps/web/src/features/chat/hooks/useChatSession.test.ts; npm run test:e2e:smoke -w @memorag-mvp/web","implemented_verified","live expiry sweep duration は未実測。request-time current deny、同一会話利用、永続一覧非混入、cleanup tracking の AC は direct evidence で受け入れた。"
"FR-068","AC-FR068-001 protected metadata を server registry/reviewer から設定; AC-FR068-002 authority/inspection/quality 不明時は quarantine/reject し非公開","apps/api/src/rag/offline/pre-retrieval/admission/source-admission.ts は protected metadata allowlist、versioned references、inspection status、authoritative scope を評価し、source-governance approval service は current reviewer と staged publication を要求する。","apps/api/src/rag/admission-lifecycle.test.ts は forged metadata、missing references、unknown/failed inspection、production context 欠損時 no-vector を検証する。source-governance-approval-service.test.ts は reviewed staged publish と失敗時 reconciliation を検証する。実行結果はこの行では主張しない。","apps/api/src/rag/admission-lifecycle.test.ts; apps/api/src/rag/offline/pre-retrieval/admission/source-governance-approval-service.test.ts","implemented_verified","local fixture admission は production で拒否される。"
"FR-069","AC-FR069-001 document→chunk/memory/vector の全 reference/hash/count 継承; AC-FR069-002 欠損・不一致 record を quarantine/exclude","apps/api/src/rag/_shared/security/derived-record-security.ts が document/version/tenant と authorization/classification/usage/quality/lifecycle/provenance/source locator の envelope/hash を生成・検証し、ingest manifest が count/set hash を照合する。","apps/api/src/rag/admission-lifecycle.test.ts は approved ingest の envelope/manifest/vector reconciliation と tamper を検証し、current-rag-eligibility.test.ts と current-eligibility-vector-filter.test.ts は欠損/mismatch を deny する。実行結果はこの行では主張しない。","apps/api/src/rag/admission-lifecycle.test.ts; apps/api/src/rag/current-rag-eligibility.test.ts; apps/api/src/adapters/current-eligibility-vector-filter.test.ts","implemented_verified","欠損 metadata を active/eligible に補完しない assertion がある。"
"FR-070","AC-FR070-001 lexical/vector/memory/multi-query の prefilter と authorized top-K; AC-FR070-002 context/rerank/prompt/citation/cache 前の current 再認可","apps/api/src/rag/online/retrieval/hybrid/hybrid-retriever.ts と vector adapters は authorized document IDs/tenant/ACL/eligibility を engine query 前に適用し、apps/api/src/rag/_shared/security/current-evidence-reauthorizer.ts が manifest、permission、governance、derived envelope、publication pointer を evidence 使用前に再確認する。","current-eligibility-vector-filter.test.ts は pre-top-K filtering、search/hybrid-search.test.ts と retrieve-memory.test.ts は revoke/deny、current-rag-eligibility.test.ts は全 reference、graph tests は prompt/citation 前除外を検証する。実行結果はこの行では主張しない。","apps/api/src/adapters/current-eligibility-vector-filter.test.ts; apps/api/src/search/hybrid-search.test.ts; apps/api/src/chat-orchestration/nodes/retrieve-memory.test.ts; apps/api/src/rag/current-rag-eligibility.test.ts","implemented_verified","権限外 hit で authorized top-K を underfill させない prefilter path を持つ。"
"FR-071","AC-FR071-001 retrieved data と instruction の分離; AC-FR071-002 injection/exfiltration/tool bypass の検出・隔離","apps/api/src/rag/_shared/security/untrusted-content-policy.ts は NFKC 正規化した deterministic rules と hash-only finding を生成し、context packer/prompt builder は suspicious evidence を除外し data-only 表現を使う。","apps/api/src/rag/untrusted-content.test.ts は system prompt/ACL bypass/tool/secret exfiltration/delimiter breakout、raw 値非保持、safe evidence 維持を検証する。実行結果はこの行では主張しない。","apps/api/src/rag/untrusted-content.test.ts","implemented_verified","tool/authorization policy は retrieved text ではなく code 側で維持される。"
"FR-072","AC-FR072-001 isolated candidate + gate 後 atomic pointer; AC-FR072-002 failure/retry/rollback 中も単一 active と current deny","apps/api/src/rag/_shared/publication/staged-publication-coordinator.ts は tenant/source/version scoped stage namespace、manifest/hash reconciliation、prepared commit、CAS active pointer、rollback、current pointer snapshot を実装する。","apps/api/src/rag/staged-publication.test.ts は atomic cutover、pointer failure/reconcile、lease fencing、tamper、rollback、concurrent winner を検証する。current-rag-eligibility.test.ts は old/staged でも current deny を評価する。実行結果はこの行では主張しない。","apps/api/src/rag/staged-publication.test.ts; apps/api/src/rag/current-rag-eligibility.test.ts","implemented_verified","0/複数 active visibility を CAS pointer で防ぐ。"
"FR-073","AC-FR073-001 role/version/effective period/locator/auth decision を保持; AC-FR073-002 unresolved conflict を限定回答・質問・保留へ","apps/api/src/rag/online/post-retrieval/evidence/final-evidence-set.ts は supporting/conflicting/outdated/background と topic/version/period/locator/current auth を citation に保持し、chat-rag-orchestrator と sufficient-context-gate は primary conflict を answerable とせず refusal/clarification へ送る。","apps/api/src/rag/evidence-structure.test.ts は全 evidence role と locator/version/auth decision、conflict 非破棄を検証し、apps/api/src/chat-orchestration/graph.test.ts/node-units.test.ts は conflict answerability を検証する。実行結果はこの行では主張しない。","apps/api/src/rag/evidence-structure.test.ts; apps/api/src/chat-orchestration/graph.test.ts; apps/api/src/chat-orchestration/nodes/node-units.test.ts","implemented_verified","同等 conflict を黙って supporting に変換しない。"
"FR-074","AC-FR074-001 ingest/search/answer trace の相関情報; AC-FR074-002 replay 時の全 version 固定と missing 非補完","apps/api/src/rag/_shared/replay/replay-version-manifest.ts は source snapshot、parser/OCR、chunker/policy、embedding、authorization/index/model/prompt/pipeline/dataset versions と nondeterminism/missingVersions を構築し、ingest manifest、search の tenant 分離された operator-sanitized debug trace、chat trace が同一 request/run の実測 decision/candidate/deny/latency と結合し、search response と quality sample も同じ traceId を共有する。","replay-version-manifest、graph、hybrid-search の直接 test と最終 API 657/657 が pass。permission revoke と dependency error は canonical reason へ分離し、raw dependency error を trace へ公開しないことを確認した。","apps/api/src/rag/replay-version-manifest.test.ts; apps/api/src/chat-orchestration/graph.test.ts; apps/api/src/search/hybrid-search.test.ts; npm test -w @memorag-mvp/api","implemented_verified","unknown version を current default へ置換しない。"
"FR-075","AC-FR075-001 全工程・重要 slice の versioned dataset 評価; AC-FR075-002 approved threshold/non-regression/security/performance/cost/release integrity gate","BenchmarkCaseResultSchema は question/tenant-role/OCR/language/multi-evidence/answerability/severity、claim/citation/task/stage evidence を保持する。metrics/producer/policy は exact dataset/model/index/prompt/pipeline/parser/chunker/runtime/workload/price provenance、required slices、baseline/non-regression/improvement、release audit、zero-tolerance を fail closed に gate する。","contract 11/11、producer 4/4、promotion 4/4、release audit 3/3、infra metrics 12/12 が pass。contract/benchmark/infra/web typecheck は pass。API branch-wide typecheck/lint は並行変更の未収束 error が残る。","packages/contract/src/rag-quality-control.test.ts; benchmark/promotion-gate.test.ts; benchmark/promotion-workflow.test.ts; benchmark/release-audit.test.ts; apps/api/src/rag/production-rag-observation-producer.test.ts; infra/test/update-benchmark-run-metrics.test.ts","implementation_verified_operational_acceptance_pending","gate contract/evidence path は direct test 済み。stakeholder threshold、workload observation、price ceiling/live AWS は未承認・未実施のため release 合格を主張しない。"
"FR-076","AC-FR076-001 3資源×7操作の enabled cell exact allow/deny; AC-FR076-002 undefined/explicit-deny cell を default deny","resource-operation-authorization.ts の versioned 21-cell catalog（19 enabled、resourceGroup move/share explicit deny）と production authorizer を document/folder/resourceGroup routes/services が使用し、missing/denied/conflict audit failure は mutation 前に fail closed となる。","API typecheck pass。operation matrix 3/3、resource-group lifecycle 5/5、routes 5/5、access policy 17/17、document permission 20/20、document lifecycle 12/12、folder permission 23/23、folder lifecycle 7/7、archive 3/3、share 1/1、move 2/2 pass と報告済み。","apps/api/src/security/resource-operation-authorization.test.ts; packages/contract/src/access-control.test.ts; apps/api/src/security/resource-group-lifecycle-service.test.ts; apps/api/src/routes/resource-group-routes.test.ts; apps/api/src/documents/document-permission-service.test.ts; apps/api/src/folders/folder-permission-service.test.ts","implemented_verified","document/folder/resourceGroup の production entry で canonical exact-cell/default-deny を受け入れた。"
"FR-077","AC-FR077-001 active same-tenant owner/adminPrincipal の policy 非依存 full; AC-FR077-002 ordinary policy による降格/deny mutation 拒否","folder/document permission services は administrative principal を ordinary policy deny/unavailable より先に full とし、tenant/account/lifecycle/integrity mandatory deny だけを優先する。policy replacement validator は admin principal の readOnly/none/deny を拒否する。","folder-permission-service.test.ts と document-permission-service.test.ts は policy 欠損/deny/unreadable 時 full、mandatory deny、admin downgrade mutation rejection を検証する。resource-operation-authorization.test.ts も invariant を検証する。実行結果はこの行では主張しない。","apps/api/src/folders/folder-permission-service.test.ts; apps/api/src/documents/document-permission-service.test.ts; apps/api/src/security/resource-operation-authorization.test.ts","implemented_verified","管理主体変更は FR-078 service に分離される。"
"FR-078","AC-FR078-001 全 folder/document/resource-group の後継移管; AC-FR078-002 invalid/partial successor で orphan 確定拒否","apps/api/src/security/administrative-principal-transfer-service.ts は inventory、successor current validation、folder/resource-group/document manifest+vector projection の CAS transfer、rollback/reconciliation を実装し、account delete/preflight と専用変更操作から呼ばれる。","administrative-principal-transfer-service.test.ts は全資源移管、inactive/cross-tenant successor、部分失敗 rollback、projection failure、concurrent successor を検証し、account-lifecycle-current-identity.test.ts は delete/preflight integration を検証する。実行結果はこの行では主張しない。","apps/api/src/security/administrative-principal-transfer-service.test.ts; apps/api/src/security/account-lifecycle-current-identity.test.ts; apps/web/src/features/admin/components/AdminWorkspace.test.tsx","implemented_verified","suspended principal の access は current account guard が拒否する。"
"FR-079","AC-FR079-001 API/Web/infra/worker の versioned canonical catalog 一致; AC-FR079-002 unknown role/drift/resource-group-as-role を fail closed","packages/contract/src/access-control.ts が ROLE_CATALOG_VERSION、APPLICATION_ROLES、ROLE_PERMISSION_CATALOG を一元定義し、API authorization、Cognito post-confirmation、CDK groups、role mutation が同 package を import する。resource-group services は application role namespace を principal/group ID として拒否する。","packages/contract/src/access-control.test.ts は catalog 一意性、unknown fail-closed、least privilege を検証し、infra/test/memorag-mvp-stack.test.ts と authorization.test.ts は infra/API alignment を検証する。実行結果はこの行では主張しない。","packages/contract/src/access-control.test.ts; apps/api/src/authorization.test.ts; infra/test/memorag-mvp-stack.test.ts","implemented_verified","Web capability は API が canonical permission から返す値を使用し、独自 role→permission catalog を持たない。"
"FR-080","AC-FR080-001 permission/target/catalog/reason/self/recovery guard の全体拒否; AC-FR080-002 authoritative exact role set + session/worker 再評価","apps/api/src/security/application-role-mutation-service.ts は current actor/target、tenant/status、exact catalog、reason、self mutation、SYSTEM_ADMIN grant/removal recovery を事前検証し、global signout→Cognito exact group set→再読込→ledger→audit を行う。failure は rollback を試みる。","application-role-mutation-service.test.ts は各 deny 条件、別 recovery principal、session revoke failure、成功順序/verification/audit を直接検証する。実行結果はこの行では主張しない。","apps/api/src/security/application-role-mutation-service.test.ts","implemented_verified","pre-mutation token は role write 前に revoke される。"
"FR-081","AC-FR081-001 valid proposed state の atomic replace; AC-FR081-002 feature/full/dangling/inactive/cross-tenant/cycle を全体拒否","resource-group-membership-service.ts は complete proposed state、target full、current same-tenant principals、application-role namespace、nested cycle、versioned CAS、audit、revocation cleanup を検証する。tenant-first local+Dynamo stores は same raw ID を分離する。","membership 11/11、tenant stores 9/9、resource-group routes 5/5 pass と報告済み。成功/feature/full/user-group validity/cycle/stale edge/CAS/audit failure/HTTP minimal error を含む。","apps/api/src/security/resource-group-membership-service.test.ts; apps/api/src/routes/resource-group-routes.test.ts; apps/api/src/adapters/folder-permission-stores.test.ts","implemented_verified","current production membership mutation/storage/route の direct evidence を受け入れた。"
"FR-082","AC-FR082-001 page/section/span source mapping + loss warning; AC-FR082-002 budget/parse failure を explicit partial/quarantine","text-extractor.ts は pdf-parse の page render と pdftotext の form-feed page 境界を保持し、heading から body へ sectionPath を継承する。native text 欠落 page は page locator 付き error warning と partial を生成し、parser failure は pdftotext へ fail-safe fallback する。ingest は partial を publicationEligible=false/staging とする。","実2ページ native PDF を test fixture seam なしで処理して page/section/span round-trip を確認し、native+empty の実 mixed PDF が page 2 warning/partial となり vector publication されないことを確認した。truncation/OCR/table locator も同じ focused suites で検証する。","apps/api/src/rag/text-processing.test.ts; apps/api/src/rag/admission-lifecycle.test.ts; apps/api/src/rag/test-support/native-text-pdf.ts","implemented_verified","silent truncation count は release zero-tolerance signal に接続する。pdftotext 不可かつ pdf-parse 失敗時は OCR 経路へ fail closed する。"
"FR-083","AC-FR083-001 stable ID/checkpoint retry; AC-FR083-002 manifest/object/vector reconciliation; AC-FR083-003 lease generation/fencing で stale writer 拒否","staged-publication-coordinator.ts は scoped idempotency identity、durable checkpoint、generation/fencing token、staged artifact manifest/hash、compensation、single CAS pointer winner を実装する。","staged-publication.test.ts は retry/rollback idempotency、tamper/missing vector、pre/post pointer failure reconciliation、expired lease stale writer、concurrent publication single winner を検証する。実行結果はこの行では主張しない。","apps/api/src/rag/staged-publication.test.ts","implemented_verified","stale generation は newer artifact を cleanup/overwrite できない。"
"FR-084","AC-FR084-001 dedicated runner + allowlisted simulated subject + isolated tenant/corpus; AC-FR084-002 caller override と real-user expansion 拒否","apps/api/src/benchmark/evaluation-context.ts は authenticated BENCHMARK_RUNNER、server allowlisted suite/subject、nonprivileged role、isolated benchmark tenant/corpus を解決する。benchmarkCorpusOwnerId は requested suite を正規 corpus owner へ解決し、seed list/delete は認可 subject と verified runner audit attribution を分離する。","evaluation-context、access-control policy、benchmark seed API contract、document lifecycle coordinator test は shared corpus owner、mismatched owner 拒否、verified runner の durable audit/tombstone actor を検証し、最終 API 658/658 が pass。","apps/api/src/benchmark/evaluation-context.test.ts; apps/api/src/security/access-control-policy.test.ts; apps/api/src/contract/api-contract.test.ts; apps/api/src/documents/document-lifecycle-mutation-coordinator.test.ts; npm test -w @memorag-mvp/api","implemented_verified","実 Cognito/AWS の audit/tombstone attribution 確認は operational pending。deterministic production-path 再監査 blocker 0。"
"FR-085","AC-FR085-001 matching expected version の complete atomic replace; AC-FR085-002 stale/integrity failure で state/version 不変","folder/document permission services は canonical complete-state hash/version、CAS replace、principal/admin invariant validation、common audit を実装し、GET/PUT share routes が expectedVersion を必須にする。","folder-permission-service.test.ts と document-permission-service.test.ts は matching replace、stale conflict、admin loss/inactive/cross-tenant principal、concurrent writer を検証する。versioned route tests は expectedVersion contract を検証する。実行結果はこの行では主張しない。","apps/api/src/folders/folder-permission-service.test.ts; apps/api/src/documents/document-permission-service.test.ts; apps/api/src/folder-share-routes.test.ts; apps/api/src/routes/document-share-versioned-routes.test.ts","implemented_verified","listener test 実行結果はこの行では主張しない。"
"FR-086","AC-FR086-001 success mutation の共通必須 audit; AC-FR086-002 denied/conflict/failed audit; AC-FR086-003 audit failure 時 success 禁止と convergence","apps/api/src/security/security-mutation-audit-outbox.ts は before/proposedAfter/actor/tenant/target/reason/policyVersion を mutation 前に durable intent 化する。document delete は認可 subject と auditActorId を分離し、durable intent、audit outbox、deny tombstone が verified actor attribution を保持する。","security mutation、membership/share/governance/transfer/document lifecycle/account/role test は success/denied/conflict/failure/convergence を検証する。benchmark delete 直接 test と API contract、最終 API 658/658、独立再監査 blocker 0 を確認した。","apps/api/src/security/security-mutation-audit-outbox.test.ts; apps/api/src/security/resource-group-membership-service.test.ts; apps/api/src/rag/offline/pre-retrieval/admission/source-governance-approval-service.test.ts; apps/api/src/documents/document-lifecycle-mutation-coordinator.test.ts; apps/api/src/contract/api-contract.test.ts; apps/api/src/security/account-lifecycle-current-identity.test.ts; apps/api/src/security/application-role-mutation-service.test.ts","implemented_verified","audit intent が保存できなければ protected mutation を開始しない。completion failure は pending durable intent と非成功 response を残す。live AWS audit attribution は operational pending。"
"FR-087","AC-FR087-001 document manifest/vector/index/path/direct+inherited grant の coherent move; AC-FR087-002 folder subtree failure/retry/cycle/policy coherence","document-lifecycle-mutation-coordinator.ts と folder-lifecycle-mutation-coordinator.ts は durable intents、CAS、hidden staged projections、canonical path/subtree rewrite、direct/local policy version preservation、current reauth、rollback/reconcile を実装する。document/folder move routes と Web は expectedVersion/reason を渡す。","document-lifecycle-mutation-coordinator.test.ts、folder-lifecycle-mutation-coordinator.test.ts、folder-move-routes.test.ts、memorag-service.test.ts、DocumentWorkspace.test.tsx は coherent commit、cycle、failure/retry、concurrent winner、Web versioned route を検証する。実行結果はこの行では主張しない。","apps/api/src/documents/document-lifecycle-mutation-coordinator.test.ts; apps/api/src/folders/folder-lifecycle-mutation-coordinator.test.ts; apps/api/src/folder-move-routes.test.ts; apps/api/src/rag/memorag-service.test.ts; apps/web/src/features/documents/components/DocumentWorkspace.test.tsx","implemented_verified","HTTP listener suite は environment constraint と分離する。"
"FR-088","AC-FR088-001 persistence 前 allowlist/redaction/fail closed; AC-FR088-002 view/download に canary/other-tenant/raw PII 非露出","apps/api/src/rag/_shared/security/trace-sanitizer.ts は credential/secret/content/PII pattern、field allowlist、pseudonymous actor、citation metadata allowlist を persistence/view の両方へ適用し、chat trace/debug routes が sanitized artifact のみを保存・返す。","apps/api/src/rag/trace-sanitizer.test.ts は raw credential/question/history/text/answer/ACL/canary を persistence と view/download の二段階で検証し、graph.test.ts は persisted trace integration を検証する。実行結果はこの行では主張しない。","apps/api/src/rag/trace-sanitizer.test.ts; apps/api/src/chat-orchestration/graph.test.ts","implemented_verified","redaction metadata の宣言だけでなく payload absence を assertion する。"
"FR-089","AC-FR089-001 dependency degradation でも全 mandatory guard; AC-FR089-002 guard を落とす profile/route 拒否と decision trace","apps/api/src/rag/_shared/security/safe-degradation-policy.ts は authentication/authorization/classification-usage/injection/tool/grounding/citation/secret/redaction の必須集合を versioned profile、observed guard outcomes、decision にし、chat orchestrator は開始時 profile validation、node failure 時 content/citation なし refusal と decision trace を返す。共有 contract、API schema、OpenAPI も guardOutcomes を必須構造として保持する。","safe-degradation、graph、contract schema、API schema、OpenAPI runtime/freshness と最終 API/contract suite が pass。missing/unobserved guard、timeout/overload/cost/circuit/dependency trigger を fail/refuse する。","apps/api/src/rag/safe-degradation-policy.test.ts; apps/api/src/chat-orchestration/graph.test.ts; packages/contract/src/schemas/search.test.ts; apps/api/src/contract/schemas.test.ts; apps/api/src/openapi-runtime-source.test.ts","implemented_verified","実際に guard を維持できない fallback は content を返さず fail/refuse する。"
